,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Coronavirus: Rescuing China's animals during the outbreak,"Activists are struggling to keep up as pet owners fall ill, are quarantined or abandon their animals.",https://www.bbc.co.uk/news/world-asia-china-51614957,https://ichef.bbci.co.uk/news/1024/branded_news/3670/production/_111063931_i.jpg,2020-02-29T02:40:14Z,"Image copyrightSuppliedImage caption
 Animal rescue groups say they are seeing an increasing number of animals abandoned across the country
Volunteers in China say they're struggling to keep up with the number of animals being abandoned as the country battl… [+4642 chars]"
1,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Coronavirus: Hunt for source of UK-infected case,Officials are trying to find out how a man in Surrey caught Covid-19 and tracing those who he met.,https://www.bbc.co.uk/news/uk-51684624,https://ichef.bbci.co.uk/news/1024/branded_news/874E/production/_111083643_hi060309657.jpg,2020-02-29T02:27:24Z,"Image copyrightPA MediaImage caption
 The World Health Organization has raised its global risk assessment to its highest level
Health officials are trying to discover how a man in England caught coronavirus, after he became the first person to infected with… [+5507 chars]"
2,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Kizito Mihigo: The Rwandan gospel singer who died in a police cell,"Rwandan genocide survivor Kizito Mihigo, hailed as a national talent, was later accused of treason.",https://www.bbc.co.uk/news/world-africa-51667168,https://ichef.bbci.co.uk/news/1024/branded_news/0D76/production/_111064430_kizedit.jpg,2020-02-29T02:27:13Z,"Image copyrightKizito Mihigo/Facebook
Rwandan gospel singer Kizito Mihigo was at one time hailed as a great national talent but then he was accused of being a traitor. He was recently found dead, at the age of 38, in a police cell. The BBC's Great Lakes Serv… [+8628 chars]"
3,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Delhi riots: Muslim women recall horror of Molotov cocktails and arson,Religious violence in the Indian capital has left thousands staring at a bleak future.,https://www.bbc.co.uk/news/world-asia-india-51670096,https://ichef.bbci.co.uk/news/1024/branded_news/D12B/production/_111074535_0c03f6ae-5e38-4e86-872d-ef2ebb1761e7.jpg,2020-02-29T02:24:31Z,"Image caption
 Women and children take refuge in the Indira Vihar shelter
The deadly religious riots that have swept parts of the Indian capital are proving that women and children are often the most vulnerable victims in any conflict, writes the BBC's Geet… [+5606 chars]"
4,"{'id': 'bbc-news', 'name': 'BBC News'}",,Women's T20 World Cup: Fargana Hoque produces 'phenomenal' catch,Fargana Hoque produces a 'phenomenal piece of fielding' to dispatch New Zealand's Anna Peterson during Bangladesh's Women's T20 World Cup game against New Zealand.,https://www.bbc.co.uk/sport/av/cricket/51685798,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/1E9E/production/_111083870_v2mmt20banphenominalcatchv2.10_00_21_13.still002.jpg,2020-02-29T02:12:14Z,
5,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Most graduates still gain financially from degrees,"But one in five would have been better off not going to university, says research.",https://www.bbc.co.uk/news/education-51676530,https://ichef.bbci.co.uk/news/1024/branded_news/E8CD/production/_111079595_students12.jpg,2020-02-29T01:15:11Z,"Image copyrightGetty ImagesImage caption
 University leaders say the value of higher education should be measured in more than just earning power
Higher pay still makes it financially beneficial to go to university for most students in England, says researc… [+5015 chars]"
6,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Fish oil supplements offer 'little or no benefit' against cancer,Research suggests omega-3 supplements may not be as beneficial as previously suggested.,https://www.bbc.co.uk/news/health-51674313,https://ichef.bbci.co.uk/news/1024/branded_news/0F6B/production/_111074930_gettyimages-1148172852.jpg,2020-02-29T01:12:54Z,"Image copyrightGetty ImagesImage caption
 The global market for omega-3 supplements has been estimated to be worth around $33bn (£25.6bn)
Taking omega-3 supplements offers ""little to no"" benefit against cancer, say experts. 
Consumption of fish oil supplem… [+2846 chars]"
7,"{'id': 'bbc-news', 'name': 'BBC News'}",,2020/02/29 01:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172wy0v6f9npst,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2020-02-29T01:06:00Z,The latest five minute news bulletin from BBC World Service.
8,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Margaret Thatcher: Former PM named outfits after Gorbachev and Reagan,"The ex-PM christened her wardrobe, papers show, with references to Mikhail Gorbachev and Ronald Reagan.",https://www.bbc.co.uk/news/uk-politics-51676773,https://ichef.bbci.co.uk/news/1024/branded_news/82A7/production/_111074433_pinkgorbachevgetty.jpg,2020-02-29T01:04:46Z,"Image copyrightGetty ImagesImage caption
 Margaret Thatcher wore a pink outfit while meeting Mikhail Gorbachev in London in April 1989
Margaret Thatcher named some of her outfits after other world leaders, including Mikhail Gorbachev and Ronald Reagan, newl… [+4272 chars]"
9,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Could deepfakes be used to train office workers?,"A consultancy that makes business training videos is advertising for a ""deepfake expert"".",https://www.bbc.co.uk/news/technology-51064933,https://ichef.bbci.co.uk/news/1024/branded_news/0F04/production/_111044830_deepfakead.gif,2020-02-29T00:59:47Z,"Image copyrightLinkedInImage caption
 The response to Preswerx's advert, placed on business social network LinkedIn last month, has so far been disappointing
A consultancy that makes business training videos is advertising for a ""deepfake expert"" to create … [+5641 chars]"
10,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Syria war: Refugees eye Europe as Turkey hits breaking point,Turkey says it is no longer preventing Syrians from leaving for Europe - and the refugees want to move.,https://www.bbc.co.uk/news/world-europe-51672915,https://ichef.bbci.co.uk/images/ic/1024x576/p0854w6w.jpg,2020-02-29T00:57:47Z,"Media captionSyrian refugee Halil is one of thousands waiting on the Turkish coast to get to Greece
Halil stands on a small, deserted beach on the western coast of Turkey, at the edge of the water. ""Look! it's so close"" he says, ""but reaching it is so hard.""… [+4111 chars]"
11,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Saving the banana,Scientists around the world are working on ideas that could stop banana crops being wiped out by Panama disease.,https://www.bbc.co.uk/news/av/stories-51633620/saving-the-banana,https://ichef.bbci.co.uk/news/1024/branded_news/17207/production/_111072749_p0852hxd.jpg,2020-02-29T00:49:46Z,
12,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Coronavirus: 'I've been waiting four days for NHS 111 to call',People returning from travel report delays and contradictions when they seek coronavirus advice.,https://www.bbc.co.uk/news/uk-51660694,https://ichef.bbci.co.uk/news/1024/branded_news/147CC/production/_111061938_halltimms.jpg,2020-02-29T00:42:05Z,"Image caption
 Dean Hall has not heard back from 111, while Carole Timms received contradictory advice
A man who returned from Italy with a fever said he waited four days with no call back from NHS 111 clinicians.
Dean Hall, who works on IT projects involv… [+5359 chars]"
13,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,What are the chances of dying from coronavirus?,The current best guess of a 1% death rate does not apply to everyone.,https://www.bbc.co.uk/news/health-51674743,https://ichef.bbci.co.uk/news/1024/branded_news/4873/production/_111074581_gettyimages-1203459555.jpg,2020-02-29T00:40:15Z,"Image copyrightGetty ImagesImage caption
 More than 50 countries have now confirmed cases
Researchers currently think that between five and 40 coronavirus cases in 1,000 will result in death, with a best guess of nine in 1,000 or about 1%. 
But it depends … [+4058 chars]"
14,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,John Ratcliffe: Trump picks lawmaker again for US spy boss,Mr Ratcliffe's first nomination was withdrawn last year amid concerns he adorned his CV.,https://www.bbc.co.uk/news/world-us-canada-51684420,https://ichef.bbci.co.uk/news/1024/branded_news/09EA/production/_111083520_hi059509955.jpg,2020-02-29T00:35:23Z,"Image copyrightAFPImage caption
 Mr Ratcliffe's first nomination was withdrawn last year amid concerns that he padded his intelligence credentials
Donald Trump has, for a second time, nominated Republican lawmaker John Ratcliffe to serve as US Director of N… [+1690 chars]"
15,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Gorgie farm welcomes the Dalry llama,The public will be able to walk with llamas at Love Gorgie Farm when it opens later to the public.,https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-51674019,https://ichef.bbci.co.uk/news/1024/branded_news/DED5/production/_104154075_gettyimages-154948449.jpg,2020-02-29T00:35:05Z,"Image copyrightGetty ImagesImage caption
 The public will be able to walk llamas at Love Gorgie Farm when it opens later to the public
Llamas, giant rabbits and reindeer are to feature at the new farm which is opening later on the Edinburgh site of the liqu… [+2217 chars]"
16,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Why are Scottish councils closing their outdoor centres?,"Residential centres have given generations of schoolchildren a taste of outdoor life, but more are set to close this year.",https://www.bbc.co.uk/news/uk-scotland-51627635,https://ichef.bbci.co.uk/news/1024/branded_news/8878/production/_111063943_3eba1ca8-b93c-4cb7-822c-edc418d50c67.jpg,2020-02-29T00:34:40Z,"Image copyrightBlairvadach Outdoor Education CentreImage caption
 Outdoor centres like Blairvadach offer activities like hillwalking, mountain biking and climbing
Residential centres across Scotland have given generations of schoolchildren a chance to exper… [+8084 chars]"
17,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Week in Pictures: 22-28 February,A gallery selection of news photographs taken around the world this week.,https://www.bbc.co.uk/news/in-pictures-51644666,https://ichef.bbci.co.uk/news/1024/branded_news/17CA7/production/_111074479_hi060239588.jpg,2020-02-29T00:33:01Z,"A selection of news photographs taken around the world this week.
Image copyrightLiu Xingzhe / EPAImage caption
 A couple kiss each other with their masks off while waiting for a train in Shanghai, China. More than a month since the Covid-19 outbreak, the s… [+3439 chars]"
18,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Disabled train access: 'I feel less human' due to lack of lift,A 23-year-old says it is ridiculous disabled people still cannot get on trains after years of campaigning.,https://www.bbc.co.uk/news/uk-wales-51628453,https://ichef.bbci.co.uk/images/ic/1024x576/p08543nr.jpg,2020-02-29T00:27:25Z,"Media captionJoshua Reeves takes us around Cardiff to explain his access problems
A man with cerebral palsy has said he does ""not feel human"" due to not being able to get on trains.
Joshua Reeves, 23, is unable to access platforms at some stations across Wa… [+5163 chars]"
19,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,"Knife offenders lack male role models, says senior police officer","Senior officers says it is ""too easy"" to blame cuts, social media and drugs for a rise in offences.",https://www.bbc.co.uk/news/uk-51682870,https://ichef.bbci.co.uk/news/1024/branded_news/127D0/production/_111082757_060212074.jpg,2020-02-29T00:23:18Z,"Image copyrightPA Media
A lack of male role models is a key factor behind the increase in knife crime and gang violence, a senior police officer has suggested.
Bedfordshire Assistant Chief Constable Jackie Sebire said some young people who do not have the ""… [+3766 chars]"
20,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Making chopsticks into house furnishings,"ChopValue collects 350,000 used bamboo chopsticks from Vancouver restaurants every week.",https://www.bbc.co.uk/news/av/world-us-canada-51636832/making-chopsticks-into-house-furnishings,https://ichef.bbci.co.uk/news/1024/branded_news/612C/production/_111067842_p0850z55.jpg,2020-02-29T00:22:23Z,
21,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Storm Jorge flooding: Wales braced for further wind and rain,Two weather warnings are in place for Saturday after travel was disrupted by heavy rain and floods.,https://www.bbc.co.uk/news/uk-wales-51679989,https://ichef.bbci.co.uk/news/1024/branded_news/9FE0/production/_111082904_8240f23d-244e-4431-8789-4a3ed5de0d08.png,2020-02-29T00:17:32Z,"Image copyrightMet OfficeImage caption
 Separate weather warnings are in place for wind and rain on Saturday
Wales is braced for further wind and rain on Saturday after several railway lines and roads were blocked by flooding on Friday. 
A Met Office weath… [+2110 chars]"
22,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Leap Year: What it's like being born on 29 February?,People around the world tell us what it's like being born on 29 February.,https://www.bbc.co.uk/news/av/world-51662371/leap-year-what-it-s-like-being-born-on-29-february,https://ichef.bbci.co.uk/news/1024/branded_news/7164/production/_111082092_p0854kzj.jpg,2020-02-29T00:17:17Z,
23,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Northern trains run for last day under Arriva Rail North,"Passengers have faced delays, cancellations and strikes since new timetables were introduced in 2018.",https://www.bbc.co.uk/news/uk-england-51674914,https://ichef.bbci.co.uk/news/1024/branded_news/3FE5/production/_111075361_nr-nc.png,2020-02-29T00:10:49Z,"Image copyrightPA MediaImage caption
 German firm Arriva had been due to run Northern until 2025
Northern trains are running for the last day under Arriva Rail North before the government takes over control.
Passengers have faced widespread delays, cancell… [+3024 chars]"
24,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Leaplings: Oxfordshire pair meet to celebrate leap year birthday,"Pip and Mike say that having a leap year birthday is ""fantastic"".",https://www.bbc.co.uk/news/av/uk-england-oxfordshire-51676950/leaplings-oxfordshire-pair-meet-to-celebrate-leap-year-birthday,https://ichef.bbci.co.uk/news/1024/branded_news/17EA5/production/_111075979_p08533tp.jpg,2020-02-29T00:10:35Z,
25,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,How calisthenics helped a former raver kickstart a new lifestyle,A former raver says calisthenics helped her through a difficult time and kickstarted a new lifestyle.,https://www.bbc.co.uk/news/av/uk-england-norfolk-51650337/how-calisthenics-helped-a-former-raver-kickstart-a-new-lifestyle,https://ichef.bbci.co.uk/news/1024/branded_news/15D0/production/_111048550_p084v3n2.jpg,2020-02-29T00:10:11Z,
26,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,The Plant Whisperers. How can we better connect with nature?,Jade Cuttle puts electrodes onto plants and converts the energy from the leaves into music to better connect with nature.,https://www.bbc.co.uk/news/av/uk-england-london-51682902/the-plant-whisperers-how-can-we-better-connect-with-nature,https://ichef.bbci.co.uk/news/1024/branded_news/2592/production/_111081690_p0854h2n.jpg,2020-02-29T00:08:24Z,
27,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,The decade that shattered trust in politics,Laura Kuenssberg explores the scandals that shook faith in elites at the start of the 21st century.,https://www.bbc.co.uk/news/uk-politics-51679944,https://ichef.bbci.co.uk/news/1024/branded_news/145BB/production/_111078338_duckhouse.jpg,2020-02-29T00:08:19Z,"Image copyrightPA MediaImage caption
 A duck house claimed on expenses came to symbolise a Westminster scandal
Who do you trust? 
That's no small question. But it's a fundamental one when it comes to politics. 
For democracy to work well, voters have to h… [+3444 chars]"
28,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Walkout as Polanksi wins 'best director' at Césars,The Polish-French director is wanted in the US for the statutory rape of a 13-year-old in the 1970s.,https://www.bbc.co.uk/news/world-europe-51684494,https://ichef.bbci.co.uk/news/1024/branded_news/12C63/production/_110699867_059522777.jpg,2020-02-29T00:06:09Z,"Image copyrightAFPImage caption
 Another woman accused Polanski of rape in November
Several actresses have walked out of the César awards ceremony in Paris after Roman Polanski, who was convicted of the statutory rape of a 13 year old in 1977, won best dire… [+777 chars]"
29,"{'id': 'bbc-news', 'name': 'BBC News'}",,2020/02/29 00:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172wy0v6f9nl1p,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2020-02-29T00:06:00Z,The latest five minute news bulletin from BBC World Service.
30,"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Latvia railway: Why I love living in an old train station,"Milda Romanova's home is an old rail station, and at 88 she still loves all things trains.",https://www.bbc.co.uk/news/av/world-europe-51680380/latvia-railway-why-i-love-living-in-an-old-train-station,https://ichef.bbci.co.uk/news/1024/branded_news/16CF4/production/_111082439_p0854rzh.jpg,2020-02-29T00:03:33Z,
31,"{'id': 'bbc-news', 'name': 'BBC News'}",,Mexico Open: Heather Watson reaches WTA final in Acapulco,Britain's Heather Watson is one win away from her first WTA title in almost four years after beating China's Wang Xiyu to reach the Mexican Open final.,https://www.bbc.co.uk/sport/tennis/51684520,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/0602/production/_111083510_watson.jpg,2020-02-29T00:01:21Z,"Heather Watson has reached her second WTA final in four months, following defeat in October's Tianjin Open final
Britain's Heather Watson is one win away from her first WTA title in almost four years after beating China's Wang Xiyu to reach the Mexican Open … [+786 chars]"
32,"{'id': 'bbc-news', 'name': 'BBC News'}",,Manchester City: Players to represent the club in the EFL Cup final,"As Manchester City prepare to play in the EFL Cup final for the fifth time in the last seven seasons, how many players can you name that have played in the previous four finals?",https://www.bbc.co.uk/sport/football/51621859,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/17586/production/_111022659_nasri_edited_getty.png,2020-02-28T23:45:20Z,"Manchester City are looking to win the trophy for the third season in a row
Manchester City travel to Wembley to face Aston Villa on Sunday in their fifth League Cup final in the last seven seasons.
The Blues have won all of the previous four finals; twice … [+280 chars]"
